teacher_id,title,author,genres,description,reading_level,number_in,number_out
9a237f7c6bbd539586f27b43d87183e5,1984,George Orwell,"{""Classics"",""Science Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,145th Street: Short Stories,Walter Dean Myers,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,A Break with Charity: A Story About the Salem Witch Trials,Ann Rinaldi,"{""Historical Fiction""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,A Cool Moonlight,Angela Johnson,"{""Realistic Fiction""}",Description of book goes here.,X,2,0
9a237f7c6bbd539586f27b43d87183e5,A Corner of the Universe,Ann M. Martin,"{""Realistic Fiction""}",Description of book goes here.,Y,1,0
9a237f7c6bbd539586f27b43d87183e5,A James Bond Adventure: Hurricane Gold,Charlie Higson,"{""Adventure""}",Description of book goes here.,W,2,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Christmas Snowman (Book 2),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Secret Valentine (Book 3),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Spooky Sleepover (Book 4),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Stolen Baseball Cards (Book 5),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Little Princess,Frances Hodgson Burnett,"{""Classics""}",Description of book goes here.,O,1,0
9a237f7c6bbd539586f27b43d87183e5,A Long Walk to Water,Linda Sue Park,"{""Realistic Fiction""}",Description of book goes here.,RST,6,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: A Matter of Trust,Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Austere Academy (Book 5),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,5,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Bad Beginning (Book 1),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Carniverous Carnival (Book 9),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The End (Book 13),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Ersatz Elevator (Book 6),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,5,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Grim Grotto (Book 11),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Miserable Mill (Book 4),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,4,0
